,Id,BIRTHDATE,DEATHDATE,SSN,GENDER
0,1d604da9-9a81-4ba9-80c2-de3375d59b40,1989-05-25,,999-76-6866,M
1,034e9e3b-2def-4559-bb2a-7850888ae060,1983-11-14,,999-73-5361,M
2,10339b10-3cd1-4ac3-ac13-ec26728cb592,1992-06-02,,999-27-3385,M
3,8d4c4326-e9de-4f45-9a4c-f8c36bff89ae,1978-05-27,,999-85-4926,F
4,f5dcd418-09fe-4a2f-baa0-3da800bd8c3a,1996-10-18,,999-60-7372,M
5,72c0b9ce-7aa4-430b-aaff-bd0ce7846e55,2017-07-27,,999-68-6630,M
6,b1e9b0b9-da6e-4f68-b603-bd896a50ca86,2003-12-13,,999-73-2461,F
7,01207ecd-9dff-4754-8887-4652eda231e2,2019-05-15,,999-81-4349,F
8,b58731cc-2d8b-4c2d-b327-4cab771af3ef,1970-05-16,,999-90-2484,F
9,cfee79fc-df05-476e-b274-43e09ea345db,2016-07-04,,999-15-5895,F
10,ad2e9916-4979-40fc-a8c0-68651a0cb5a6,2004-12-19,,999-78-4480,M
11,bfb6537b-535a-4f31-9a56-073220f96a17,1991-07-03,,999-74-9712,F
12,83719bd7-7a41-4c87-93f9-c5de4db6a14a,1989-06-07,,999-24-1237,F
13,76982e06-f8b8-4509-9ca3-65a99c8650fe,1982-09-01,,999-21-5604,F
14,2ffe9369-24e4-414b-8973-258fad09313a,1958-07-01,,999-76-2715,F
15,e4f1bd35-93ae-418b-b8cf-d39c3fbb069c,1957-02-25,,999-66-4231,F
16,86b97fc7-ae8f-4e0d-8e66-db68f36e7a76,1959-05-26,,999-59-1261,F
17,1c591f0d-95b1-4289-94a9-9713ab3834e7,1954-04-04,,999-88-9161,M
18,f1678bde-4814-4d71-bca9-18fdf5282232,1958-04-11,,999-49-5916,F
19,aac107d8-5187-420f-a90c-448ad49dee41,1983-09-02,,999-57-9112,F
20,71ba0469-f0cc-4177-ac70-ea07cb01c8b8,2000-11-21,2012-11-21,999-28-2716,F
21,518f83f3-a717-4705-a181-06e205df480b,1999-02-03,,999-85-6755,F
22,2f43a131-a43a-4c8c-a723-cc261adb9cc6,2017-02-23,,999-40-3169,F
23,2c634692-05d8-4122-9f46-dd9402e2cfc6,1970-12-22,,999-95-4888,F
24,860aff27-7431-47ee-968e-554470683160,1986-01-28,,999-89-1141,F
25,acb4817f-0ece-41d8-b179-82397a95a44a,1983-09-12,,999-45-5448,F
26,bf35e4fa-ea4f-40a4-8fe6-1f2f26e0aa45,2000-11-21,,999-87-8860,F
27,c8403116-d069-4130-aa02-39954fc971b5,1967-03-26,,999-30-3779,F
28,b1bc3c89-4e7b-41fd-a58b-9bf4ce2b40a9,1973-07-04,,999-85-9257,M
29,50e7ede4-7ca1-4b2c-ae64-6b88b58eeaac,1965-10-15,,999-85-8713,F
30,5a8c7f6d-b15c-4c55-b299-5bf8c2b35ad4,1993-03-09,,999-21-6421,F
31,73f124a4-e69e-4b8c-a447-e72d23dc54be,1967-06-14,,999-95-2422,F
32,ad7c452d-c8e9-40ae-a5ed-90b7bd93d2ac,1987-08-03,,999-47-3790,M
33,5056439c-015e-4968-9281-2b8c72c3926e,1986-08-24,1991-04-30,999-39-5390,F
34,e20fb002-6dc6-4cea-ba4b-7f528ccf6572,2005-11-30,,999-75-9476,M
35,d49f748f-928d-40e8-92c8-73e4c5679711,1967-06-14,,999-15-5162,M
36,f592e861-6e2e-46bc-a19d-5485fcbf0d80,2018-07-19,,999-65-5107,F
37,8b17ff1e-2b24-46a9-83f7-f8a49e82c604,1959-05-20,,999-59-5266,M
38,7723d469-7227-4b58-8f3e-b441197f4134,1994-05-31,,999-33-5858,F
39,741831b4-d1a2-407b-b5d7-af61ff550867,1969-02-22,,999-12-7459,M
40,e3af2463-f4c9-4dbb-a8d2-d6a08c5b1460,2013-07-02,,999-82-6451,F
41,31459cc4-45ed-4dee-b160-9f1a148a7724,1968-08-15,,999-88-9678,M
42,8908602e-5f0c-4f1e-847f-75a0043eeba7,1979-05-16,,999-19-9482,M
43,5be97219-ef35-4c5a-88ab-5f9a2187b7d6,1972-08-25,,999-58-9266,M
44,e05dd037-e45f-434a-946d-5c9076a2f596,1986-08-24,,999-55-3968,F
45,ddfa05a6-b8a6-4208-b609-28f9a6a8d79e,2001-12-27,,999-83-2956,F
46,0983e422-3b48-4f1a-936b-bee5f0eb4695,1982-05-22,,999-95-2021,M
47,301ebb70-0078-4989-b5dd-d751f56c404d,2012-04-29,,999-69-6192,M
48,d191448b-3fa8-47b8-9440-6b871860956c,2007-05-21,,999-36-9345,M
49,45c5c779-d2f9-4bf1-b6ff-deb7ff1fd54c,1981-08-21,,999-39-3928,M
50,8abe8efb-d431-4465-ad3b-7b3f301b845f,1955-04-05,,999-33-9259,F
51,32885ae1-d031-4f52-8f91-0e5196f5462a,1978-10-30,,999-90-6743,F
52,c563f50c-54a9-4b37-9028-bff3db7e3e27,1997-12-14,2017-11-24,999-23-1726,M
53,f98f2905-6942-4462-9c21-25a512520d90,2015-06-20,,999-85-6809,M
54,7a8e4ef0-adf4-4e6d-8d28-5d36886547f4,1976-02-21,,999-92-8481,M
55,c1b80a65-61e0-4f1b-9e1f-122c6d326034,1952-04-08,,999-56-8675,F
56,1d7fe784-8667-47e8-b733-8e6ec0fbb5f9,1940-04-05,2006-01-08,999-30-7132,F
57,b44d4f15-d604-4e24-8114-dc0dc12651d2,2020-02-13,,999-72-2409,F
58,bfd66698-4139-4e5e-9982-efa459aa9dca,1995-09-04,,999-26-2678,M
59,e175908a-09db-4730-a311-4e57ba73438b,2009-05-07,,999-19-6600,F
60,937d794b-6e68-4b17-b162-0a41b68f8085,2008-06-23,,999-49-6430,F
61,14289f20-085c-4fc8-bdd8-e2074166d91f,1968-03-29,,999-64-4625,F
62,47a91815-0dca-49df-b1dc-8bb88d8c1b38,1959-03-04,,999-49-8312,F
63,0f5646bc-a156-4ec0-9252-5b592e3d3184,1997-12-14,,999-45-8311,M
64,66b46e68-f643-4ebd-8ad1-14ebf58e356c,1992-05-22,,999-45-6436,F
65,bb9d00fe-b16e-4832-8aec-b1e9d480d48d,1969-06-05,,999-88-2579,M
66,3800b2a6-2360-40dc-b709-394b4794cc0d,2006-05-24,,999-86-2605,M
67,44c8b4c8-4457-4ba0-94b6-285ef327a249,1941-03-25,1989-01-17,999-33-7429,M
68,e75ed3bb-d04c-46cc-897e-1938329673ec,1990-06-15,,999-27-7560,F
69,b844f920-ed79-4624-a4da-fe5a201b9baf,2018-02-06,,999-47-5686,M
70,cdef53d5-0537-4073-8874-79fa5e0346e6,1940-04-05,1987-03-29,999-76-2610,F
71,799d0738-d5cd-4161-bdb8-e3c49e21ec66,1939-12-12,,999-49-7659,M
72,dadd331c-6143-41d1-bffb-d34b321ed157,1976-09-10,,999-23-1789,M
73,89752052-a38b-45f0-a590-3950bbb67bec,1954-07-29,,999-15-6463,F
74,a9191572-cd67-4184-9945-a25eb3fa6ef0,1941-03-25,1967-07-04,999-13-7981,M
75,bae73dce-20fa-4a6a-8e46-b2ed541f9296,1958-04-27,,999-31-7122,M
76,da200ea3-c9eb-414b-b22a-86430059fd47,2003-08-08,,999-32-9052,M
77,711d2093-5eb9-45a6-ad09-4b5c0371ad85,1967-11-26,,999-60-5555,M
78,89214f7b-82b7-460e-b583-415a688ccc3c,1940-04-05,1986-02-15,999-29-7916,F
